"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.578805454,      -12.34885173,      -12.54331104,       1.891343402,      -7.931666445
          0,           0,           1,      -3.708979611,      -1.252955622,      -1.405274996,       1.758165114,      -7.872280403
          0,           0,           2,      -3.895122842,       -1.48559706,       -1.56676661,       1.564566964,      -7.931421503
          0,           0,           3,      -3.958369723,      -1.520771245,      -1.637343626,       1.499461232,      -7.975838419
          0,           0,           4,      -4.001915802,      -1.534081529,       -1.64796382,       1.457214146,      -8.014450211
          0,           0,           5,      -4.026333749,      -1.537138933,      -1.640465095,       1.435168374,      -8.048162544
          0,           0,           6,       -4.03892324,      -1.531887794,      -1.626334758,       1.424184029,      -8.077320019
          0,           0,           7,      -4.042417602,        -1.5238758,      -1.610116978,       1.421688559,      -8.102719426
          0,           0,           8,       -4.04148653,       -1.51513225,      -1.593747839,       1.423014681,      -8.124991377
          0,           0,           9,      -4.037867049,      -1.506918767,      -1.578218072,       1.426576714,      -8.144802647
          0,           0,          10,      -4.032639176,      -1.500177266,       -1.56428913,       1.431455408,       -8.16238772
          0,           0,          11,      -4.026581236,      -1.495363314,      -1.552546617,        1.43698671,      -8.178104847
          0,           0,          12,      -4.020121402,       -1.49264293,        -1.5432306,       1.442799363,      -8.192321531
          0,           0,          13,      -4.013625444,      -1.491910198,       -1.53660748,       1.448630021,      -8.205285549
          0,           0,          14,       -4.00704652,      -1.492930996,      -1.532662596,       1.454625521,      -8.217692129
          0,           0,          15,      -4.000243739,      -1.495188831,      -1.531328286,       1.460937304,      -8.228672502
          0,           0,          16,      -3.993186518,        -1.4980872,      -1.532088688,       1.467696381,      -8.238730058
          0,           0,          17,      -3.985900791,      -1.500930629,      -1.534178522,       1.474786115,      -8.248119897
          0,           0,          18,       -3.97884507,      -1.503276674,      -1.536793064,       1.481808492,      -8.257182927
          0,           0,          19,      -3.972226359,      -1.504919829,      -1.539037914,       1.488441414,      -8.266803491
          0,           0,          20,      -3.966036113,      -1.505552185,      -1.540277578,       1.494707399,        -8.2792509
          0,           0,          21,      -3.959913427,       -1.50522531,      -1.540229572,       1.500838333,      -8.296473814
