    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      -1.028695796,       1.235986571,       1.748422209,       4.434101003,      0.7155133521,       4.671597811
      -1.143338069,       1.209989282,        1.71474301,       4.317743782,      0.7366700863,       4.675409192
       -0.94047655,       1.189371964,       1.681255077,       4.531123054,      0.8447774729,       4.732988318
     -0.7043440769,       1.213788062,        1.65782518,       4.788858864,       1.017490239,       4.831107793
     -0.5624336967,       1.277327533,       1.636998833,       4.953709895,       1.185799742,       4.928042169
     -0.4769795569,       1.352525179,       1.596320952,       5.064047837,       1.272495629,       4.954081983
     -0.4482540519,       1.407824129,       1.494466134,       5.117839191,       1.218358847,       4.822105257
     -0.5075336871,       1.412900706,       1.289737204,       5.078324153,      0.8193100735,       4.491715822
     -0.7537121044,       1.298600429,       1.094173748,       4.813863536,      0.8933131354,       4.840923096
      -1.069264702,       1.078905923,      0.9703670292,       4.380950428,      0.9813942068,       4.856626055
      -1.037063758,      0.8707409744,      0.7953558819,       4.516452608,      0.7526824155,       4.652479205
      -1.091689394,      0.8195173243,      0.6426598743,       4.456277434,      0.1635937528,       4.297681097
       -1.34404716,      0.7424113452,      0.5828200611,       4.170696796,      0.4020079653,        3.94495313
      -1.604250848,      0.6896039105,      0.4557536664,       3.857491129,      0.6129656979,       3.733974967
      -1.740121796,      0.6070645521,      0.3228028331,       3.693631563,      0.7491189738,       3.604634893
      -1.846295761,      0.5172698916,      0.2238036121,       3.575190628,       0.855899497,       3.505214053
      -1.951175184,      0.4362713643,      0.1603107591,       3.462496283,      0.9472278433,        3.43747528
       -2.04111883,      0.3644556614,        0.12857232,       3.372892129,       1.033245233,       3.394718549
      -2.092559434,      0.3002250663,       0.115254528,       3.322809802,       1.119888447,       3.349590581
      -2.107323615,      0.2473770455,      0.1045387337,       3.296933875,        1.20828682,       3.285363418
      -2.110518838,      0.2011221306,     0.09077556473,       3.278836325,       1.295997525,       3.208668688
      -2.121437789,      0.1516930827,     0.08136474434,       3.261390035,       1.378969128,       3.140544178
      -2.138191765,      0.1130172292,     0.09063019106,       3.246572741,       1.451526883,       3.115638161
      -2.100933201,     0.08387021817,      0.1236641654,       3.309235362,       1.519218144,       3.096397324
      -2.056346003,      0.1032199091,      0.1500361679,       3.380268837,        1.57711864,        3.10435257
      -2.034503613,      0.1007987216,      0.1958692117,       3.408021223,       1.620442618,       3.142680327
      -1.995349899,      0.1336407447,      0.2326025045,        3.44421571,       1.658875604,        3.15892693
       -1.96042284,      0.1651803567,      0.2509300488,       3.473737856,       1.695670385,       3.149468884
      -1.944238595,      0.1817110081,        0.26109455,       3.484210972,       1.729635021,       3.133637886
      -1.940798397,      0.1914031042,      0.2652043638,       3.482449288,       1.761949131,       3.112351208
      -1.945426485,      0.1942752522,      0.2663980302,       3.473923674,       1.793716596,       3.095614753
      -1.953194606,      0.1917077299,      0.2661831052,       3.463736109,       1.826239605,       3.081960285
      -1.961134715,      0.1845011943,      0.2670019554,       3.454637606,       1.860366794,       3.071009033
      -1.964399933,       0.173518371,      0.2689021346,       3.451059368,       1.896767061,       3.057455933
      -1.962793923,      0.1592921573,      0.2761967495,       3.452741847,       1.934287058,       3.047156737
      -1.952275559,      0.1448756093,      0.2828142775,       3.462984779,       1.972142834,       3.026379281
      -1.941828625,      0.1275435192,      0.3054175959,       3.472975916,       2.007416089,       3.030423177
      -1.912991746,      0.1143090803,      0.3022025126,        3.49989641,       2.043294347,       3.003054979
      -1.914456214,     0.09745451942,      0.4617979452,       3.496826244,       2.108381587,       3.198727841
      -1.748687584,     0.09291258055,      0.7775463123,       3.642543236,       2.187730876,        3.34072193
      -1.569646093,      0.2314848203,       1.252294047,       3.862032087,        2.24250201,       3.292769271
      -1.286701009,      0.7876800559,        1.27872574,       4.214644154,       2.445239352,       3.577980705
      -1.362875039,      0.9215167408,       1.455399129,       4.080342829,       2.298723383,       3.482993103
      -1.150195403,      0.9866585651,        1.57702078,       4.349061247,       2.377603296,       3.514696949
      -1.339463191,      0.8436850401,       1.550652459,       4.135340182,       2.464483167,       3.631579854
     -0.9890602342,       1.097025616,       1.816254374,       4.531500527,       2.508504707,       3.636144308
      -1.336241549,      0.9360493693,       1.493760012,       4.163336812,       2.589252414,       3.736668273
      -1.132883542,      0.8619866389,       1.680275326,         4.3823461,       2.443044597,       3.691571152
      -1.258024336,      0.9272723352,       1.600266101,       4.183237467,       2.514540611,       3.662488325
      -1.008106629,      0.9277085982,       1.799529656,       4.499806495,       2.449585264,       3.580972839
      -1.315460559,      0.7769451969,       1.360107733,       4.208480068,       2.574631133,       3.657183797
      -1.188668691,       0.775026267,       1.579994617,       4.283515402,       2.524581652,       3.659992566
      -1.139427495,      0.9609006524,       1.563170185,       4.305318434,       2.519247039,       3.616664186
      -1.136060617,      0.8771392084,       1.714447007,       4.333199272,       2.543521927,       3.634383477
      -1.111942004,       1.096531615,       1.693377597,       4.326874522,       2.620609562,       3.684801514
     -0.9526763957,      0.9629418874,       1.914119039,       4.534635718,       2.542834175,        3.64441336
      -1.108503692,        1.01330666,       1.849919812,        4.38046074,       2.949640417,       3.897242784
